PV Yield (kWh),Amount of PV panel,WATT,Temperature(°F),Humidity (%),Wind Speed (mph),Pressure (in),Hours,where
22.8,24.00,500.00,86.5,57.8,5.6,29.9,12.40,0
23.11,24.00,500.00,86.2,58,5,29.9,12.40,0
24.12,24.00,500.00,86.5,48.3,6.5,29.9,12.39,0
23.36,24.00,500.00,84,57.1,7.8,29.9,12.40,0
23.11,24.00,500.00,84.5,57.1,7,29.9,12.39,0
22.55,24.00,500.00,84.5,54.9,6.9,29.9,12.38,0
23.17,24.00,500.00,84.5,55.5,6.7,29.9,12.39,0
22.73,24.00,500.00,84.8,54.9,5.8,29.9,12.38,0
17.46,24.00,500.00,85,63.8,3.6,29.9,12.38,0
22.06,24.00,500.00,85.3,64.9,5.8,29.8,12.38,0
15.72,24.00,500.00,85.4,69.2,5.5,29.9,12.38,0
14.75,24.00,500.00,85.4,68.2,6.9,29.8,12.37,0
7.04,24.00,500.00,85.3,68.3,6.8,29.9,12.36,0
6.25,24.00,500.00,85,63.2,6.5,29.9,12.37,0
5.65,24.00,500.00,83.5,55.6,7.4,29.9,12.36,0
22.99,24.00,500.00,83.5,56.5,7.2,29.9,12.36,0
22.06,24.00,500.00,83.4,57.1,7.4,29.9,12.35,0
22.77,24.00,500.00,84.4,53.7,5.5,29.9,12.35,0
19.76,24.00,500.00,85.8,54.7,4.2,29.8,12.34,0
15.63,24.00,500.00,84.9,61.8,5.8,29.9,12.34,0
13.69,24.00,500.00,85.7,63.2,6.3,29.9,12.33,0
17.37,24.00,500.00,85.6,59.9,4.2,29.9,12.32,0
12.2,24.00,500.00,84,66,6.7,29.9,12.32,0
12.81,24.00,500.00,80.3,55.6,9.2,30,12.31,0
13.28,24.00,500.00,79.4,58.3,9.7,30,12.31,0
21.92,24.00,500.00,80.5,55.7,8.2,30,12.30,0
20.56,24.00,500.00,83.1,55.9,7.8,30,12.30,0
15.47,24.00,500.00,83.8,55.8,8,30,12.30,0
17.51,24.00,500.00,83.5,51,7.1,30,12.29,0
14.79,24.00,500.00,84.3,56.4,5.6,29.9,12.29,0
16.71,24.00,500.00,84.2,60.4,5,29.9,12.28,0
17.04,24.00,500.00,85.3,64.6,7.8,29.9,12.37,0
21.15,24.00,500.00,84.5,71.6,7.8,29.9,12.37,0
23.99,24.00,500.00,85.7,68.1,7.9,29.9,12.38,0
19.88,24.00,500.00,83.5,74.2,7,29.9,12.39,0
22.77,24.00,500.00,85.3,71.2,5.4,29.8,12.38,0
22.27,24.00,500.00,86,68.8,6.5,29.9,12.39,0
24.98,24.00,500.00,83.4,69.1,9.3,29.9,12.39,0
23.05,24.00,500.00,84.7,67.2,5.3,29.9,12.39,0
20.96,24.00,500.00,85,62.3,4.7,29.8,12.39,0
21.46,24.00,500.00,85.9,65,4.1,29.8,12.40,0
20.84,24.00,500.00,86.3,67,4.4,29.8,12.39,0
21.5,24.00,500.00,86.6,66.3,4.3,29.8,12.40,0
23.03,24.00,500.00,86.2,65.1,6.7,29.9,12.40,0
22.12,24.00,500.00,85.7,61.9,7.5,29.9,12.40,0
22.63,24.00,500.00,87,58.1,4.5,29.9,12.41,0
23.53,24.00,500.00,87.6,60.9,5.6,29.9,12.40,0
24.01,24.00,500.00,86.8,62.3,8.7,29.9,12.41,0
24.34,24.00,500.00,85.2,56.7,8.4,29.9,12.41,0
24.03,24.00,500.00,85.8,60.4,6.1,29.9,12.41,0
20.58,24.00,500.00,85.8,58.8,7.7,29.9,12.41,0
24.08,24.00,500.00,81.7,55.7,11.5,29.9,12.41,0
24.55,24.00,500.00,76.1,54.1,12.5,30,12.41,0
24.52,24.00,500.00,74.3,54.6,8.9,30,12.41,0
13.42,24.00,500.00,75.1,52.2,8.1,30.1,12.41,0
15.64,24.00,500.00,75.8,53,7.3,30,12.41,0
20.35,24.00,500.00,78.2,51.4,7.1,30,12.41,0
22.65,24.00,500.00,79.9,57.7,5.8,30,12.41,0
23.26,24.00,500.00,82.3,56.2,5.8,30,12.40,0
18.24,24.00,500.00,84,56.1,5.5,29.9,12.40,0
22.83,24.00,500.00,84.8,57.2,4.6,29.9,12.40,0
22.66,24.00,500.00,85.8,56.9,5.5,29.9,12.40,0
19.4,24.00,500.00,85.5,68.9,8.2,29.9,12.22,0
26.39,24.00,500.00,85.8,66.8,4.3,29.9,12.22,0
24.06,24.00,500.00,87.1,66.9,4.3,29.8,12.22,0
9.85,24.00,500.00,84.4,77.3,4.6,29.8,12.24,0
16.11,24.00,500.00,82.7,81.3,3.6,29.8,12.24,0
23.46,24.00,500.00,85.4,73.8,4.8,29.8,12.24,0
18.07,24.00,500.00,82,83.2,4.7,29.9,12.26,0
18.03,24.00,500.00,84.6,73.7,4.3,29.8,12.26,0
11.35,24.00,500.00,83,81.4,5.3,29.8,12.27,0
19.37,24.00,500.00,84.1,80.5,5.2,29.9,12.27,0
19.71,24.00,500.00,84,82.5,5.4,29.9,12.27,0
16.43,24.00,500.00,83.7,79.4,6.7,29.9,12.29,0
21.96,24.00,500.00,85.5,72.4,5.9,29.9,12.29,0
25.01,24.00,500.00,85.8,70.1,9.2,29.9,12.30,0
24.13,24.00,500.00,85.3,68.8,8.3,29.9,12.30,0
1.17,24.00,500.00,85.1,68.8,9.5,29.9,12.30,0
24.78,24.00,500.00,80.9,60.3,12.9,30,12.31,0
25.17,24.00,500.00,78.8,51.4,10.4,30,12.31,0
25.06,24.00,500.00,78.7,56.3,8.5,30,12.32,0
25.59,24.00,500.00,79.2,59.6,6.8,29.9,12.32,0
24.41,24.00,500.00,81.5,60.4,5.8,29.9,12.33,0
24.81,24.00,500.00,82.8,63.1,5.7,29.8,12.33,0
25.09,24.00,500.00,83.7,60.7,5.9,29.8,12.34,0
25.76,24.00,500.00,83.5,62.7,7.6,29.9,12.34,0
16.65,24.00,500.00,82.4,58.1,8.3,29.9,12.35,0
19.65,24.00,500.00,84.3,61.5,6.6,29.9,12.35,0
22.66,24.00,500.00,84,65.2,10.7,29.9,12.36,0
24.53,24.00,500.00,82,54.9,10.7,29.9,12.36,0
15.66,24.00,500.00,80.9,60.5,6.1,29.9,12.37,0
22.34,24.00,500.00,84.4,59,7,29.9,12.36,0
21.77,24.00,500.00,85.3,70.5,4.8,29.8,11.59,0
17.62,24.00,500.00,84.9,69.9,4.1,29.8,12.00,0
15.53,24.00,500.00,83.6,74.8,5.6,29.8,12.01,0
12.03,24.00,500.00,81.8,79.5,3.2,29.8,12.01,0
13.35,24.00,500.00,83.1,79.7,5,29.8,12.02,0
13.32,24.00,500.00,83.3,80.5,6.1,29.8,12.03,0
11.57,24.00,500.00,84.1,77.1,6,29.8,12.04,0
17.99,24.00,500.00,83.7,75.8,5.4,29.8,12.04,0
19.83,24.00,500.00,85,70.9,4.6,29.8,12.06,0
15.62,24.00,500.00,81.8,81.4,3.7,29.8,12.06,0
21.6,24.00,500.00,82.5,82.1,5.5,29.9,12.07,0
24.44,24.00,500.00,85.6,70.5,5.3,29.9,12.08,0
20.75,24.00,500.00,86.3,73.5,4.8,29.9,12.08,0
24.07,24.00,500.00,87,65.4,5,29.8,12.09,0
24.58,24.00,500.00,88.1,70.2,5.7,29.8,12.10,0
15,24.00,500.00,85.5,72.8,5.5,29.8,12.10,0
22.97,24.00,500.00,87.2,59.7,7,29.8,12.12,0
15.78,24.00,500.00,85,73.7,5.5,29.8,12.12,0
13.09,24.00,500.00,83.9,73.5,4.6,29.8,12.13,0
20.51,24.00,500.00,87,67.4,4.5,29.8,12.13,0
16.15,24.00,500.00,81.5,78.8,5.9,29.9,12.14,0
27.1,24.00,500.00,83.9,74.9,6.2,29.9,12.14,0
22.7,24.00,500.00,86.3,63.1,4.8,29.9,12.16,0
21.07,24.00,500.00,86.2,67.1,4.6,29.9,12.16,0
21.14,24.00,500.00,85.5,68.7,5.3,29.9,12.17,0
19.52,24.00,500.00,85.8,68.7,5.9,29.8,12.17,0
13.98,24.00,500.00,85.9,69.4,6.2,29.8,12.18,0
11.36,24.00,500.00,85.4,74.1,5.6,29.8,12.19,0
13.82,24.00,500.00,84.5,76.7,5.8,29.8,12.20,0
16.37,24.00,500.00,83.9,79.4,6.8,29.8,12.20,0
22.34,24.00,500.00,84.8,73.3,7.5,29.9,12.21,0
25.72,24.00,500.00,85.3,73.2,6.3,29.7,11.37,0
21.32,24.00,500.00,87.2,66.8,6.7,29.7,11.37,0
23.18,24.00,500.00,86.3,67.5,7.9,29.6,11.38,0
20.25,24.00,500.00,86.8,67,8.3,29.6,11.39,0
18.1,24.00,500.00,87.7,59,8.6,29.7,11.40,0
18.44,24.00,500.00,86.3,63.2,5.2,29.8,11.40,0
17.2,24.00,500.00,86.9,62.7,5.4,29.8,11.41,0
24.2,24.00,500.00,86.5,61.5,5.1,29.8,11.42,0
21.8,24.00,500.00,85.7,67.3,6.9,29.7,11.42,0
